2021-11-11 00:02:01.914 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 03:41:55.634 [kafka-coordinator-heartbeat-thread | auditTrailGroup] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Group coordinator 3.109.70.22:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: coordinator unavailable.isDisconnected: true. Rediscovery will be attempted.
2021-11-11 03:41:55.739 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:55.785 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:55.906 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:56.133 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:56.194 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:56.483 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:57.152 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:57.318 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:58.178 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 03:41:58.256 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:23.532 [kafka-coordinator-heartbeat-thread | auditTrailGroup] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:24.186 [kafka-coordinator-heartbeat-thread | auditTrailGroup] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:24.253 [kafka-coordinator-heartbeat-thread | auditTrailGroup] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Error sending fetch request (sessionId=1457962602, epoch=INITIAL) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2021-11-11 10:25:24.738 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:25.172 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:25.951 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:26.179 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:26.986 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:27.260 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:27.879 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:28.175 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:25:28.409 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:29.112 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:29.509 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:30.244 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:30.711 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 10:25:31.598 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Discovered group coordinator 3.109.70.22:9092 (id: 2147483647 rack: null)
2021-11-11 10:25:31.667 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Attempt to heartbeat with Generation{generationId=52, memberId='consumer-auditTrailGroup-2-236ff45b-b28e-492c-bced-1fdab607f980', protocol='range'} and group instance id Optional.empty failed due to UNKNOWN_MEMBER_ID, resetting generation
2021-11-11 10:25:31.668 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Giving away all assigned partitions as lost since generation has been reset,indicating that consumer is no longer part of the group
2021-11-11 10:25:31.668 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Lost previously assigned partitions test-0
2021-11-11 10:25:31.673 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions lost: [test-0]
2021-11-11 10:25:31.673 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions revoked: [test-0]
2021-11-11 10:25:31.674 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] (Re-)joining group
2021-11-11 10:25:31.695 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] (Re-)joining group
2021-11-11 10:25:31.721 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Successfully joined group with generation Generation{generationId=54, memberId='consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485', protocol='range'}
2021-11-11 10:25:31.721 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Finished assignment for group at generation 54: {consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485=Assignment(partitions=[test-0])}
2021-11-11 10:25:31.743 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Successfully synced group in generation Generation{generationId=54, memberId='consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485', protocol='range'}
2021-11-11 10:25:31.744 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Notifying assignor about the new Assignment(partitions=[test-0])
2021-11-11 10:25:31.745 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Adding newly assigned partitions: test-0
2021-11-11 10:25:31.785 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Setting offset for partition test-0 to the committed offset FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[3.109.70.22:9092 (id: 0 rack: null)], epoch=0}}
2021-11-11 10:25:31.785 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions assigned: [test-0]
2021-11-11 10:25:31.848 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Discovered group coordinator 3.109.70.22:9092 (id: 2147483647 rack: null)
2021-11-11 10:25:31.930 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Attempt to heartbeat with Generation{generationId=52, memberId='consumer-auditTrailGroup-1-79929e72-724a-482b-8db3-c145e0144d1c', protocol='range'} and group instance id Optional.empty failed due to UNKNOWN_MEMBER_ID, resetting generation
2021-11-11 10:25:31.931 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Giving away all assigned partitions as lost since generation has been reset,indicating that consumer is no longer part of the group
2021-11-11 10:25:31.931 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Lost previously assigned partitions cosmetize-v2-analytics-0
2021-11-11 10:25:31.931 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions lost: [cosmetize-v2-analytics-0]
2021-11-11 10:25:31.931 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions revoked: [cosmetize-v2-analytics-0]
2021-11-11 10:25:31.931 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] (Re-)joining group
2021-11-11 10:25:31.957 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] (Re-)joining group
2021-11-11 10:25:34.754 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Attempt to heartbeat failed since group is rebalancing
2021-11-11 10:25:34.755 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Revoke previously assigned partitions test-0
2021-11-11 10:25:34.755 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions revoked: [test-0]
2021-11-11 10:25:34.756 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] (Re-)joining group
2021-11-11 10:25:34.775 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Successfully joined group with generation Generation{generationId=55, memberId='consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485', protocol='range'}
2021-11-11 10:25:34.775 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Successfully joined group with generation Generation{generationId=55, memberId='consumer-auditTrailGroup-1-fa39d01e-1e0f-4107-971a-b57ef1180b21', protocol='range'}
2021-11-11 10:25:35.259 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Finished assignment for group at generation 55: {consumer-auditTrailGroup-1-fa39d01e-1e0f-4107-971a-b57ef1180b21=Assignment(partitions=[cosmetize-v2-analytics-0]), consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485=Assignment(partitions=[test-0])}
2021-11-11 10:25:35.288 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Successfully synced group in generation Generation{generationId=55, memberId='consumer-auditTrailGroup-2-4f4e868a-1960-47a5-9b19-5d7146687485', protocol='range'}
2021-11-11 10:25:35.288 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Successfully synced group in generation Generation{generationId=55, memberId='consumer-auditTrailGroup-1-fa39d01e-1e0f-4107-971a-b57ef1180b21', protocol='range'}
2021-11-11 10:25:35.288 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Notifying assignor about the new Assignment(partitions=[test-0])
2021-11-11 10:25:35.289 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Adding newly assigned partitions: test-0
2021-11-11 10:25:35.289 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Notifying assignor about the new Assignment(partitions=[cosmetize-v2-analytics-0])
2021-11-11 10:25:35.289 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Adding newly assigned partitions: cosmetize-v2-analytics-0
2021-11-11 10:25:35.332 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Setting offset for partition test-0 to the committed offset FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[3.109.70.22:9092 (id: 0 rack: null)], epoch=0}}
2021-11-11 10:25:35.332 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions assigned: [test-0]
2021-11-11 10:25:35.332 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.c.c.i.ConsumerCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Setting offset for partition cosmetize-v2-analytics-0 to the committed offset FetchPosition{offset=30, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[3.109.70.22:9092 (id: 0 rack: null)], epoch=0}}
2021-11-11 10:25:35.333 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.s.k.l.KafkaMessageListenerContainer - auditTrailGroup: partitions assigned: [cosmetize-v2-analytics-0]
2021-11-11 10:25:50.650 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6h44m133ms919탎500ns).
2021-11-11 10:30:28.197 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:35:28.206 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:40:28.219 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:45:28.222 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:50:28.234 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 10:55:28.246 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 11:00:28.262 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 11:05:28.265 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 11:10:28.270 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2021-11-11 11:47:27.459 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Error sending fetch request (sessionId=151073483, epoch=5721) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2021-11-11 11:47:27.459 [kafka-coordinator-heartbeat-thread | auditTrailGroup] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Group coordinator 3.109.70.22:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: coordinator unavailable.isDisconnected: true. Rediscovery will be attempted.
2021-11-11 11:47:27.579 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:27.680 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] INFO  o.a.k.clients.FetchSessionHandler - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Error sending fetch request (sessionId=1721898575, epoch=5726) to node 0:
org.apache.kafka.common.errors.DisconnectException: null
2021-11-11 11:47:27.681 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:27.682 [kafka-coordinator-heartbeat-thread | auditTrailGroup] INFO  o.a.k.c.c.i.AbstractCoordinator - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Group coordinator 3.109.70.22:9092 (id: 2147483647 rack: null) is unavailable or invalid due to cause: coordinator unavailable.isDisconnected: true. Rediscovery will be attempted.
2021-11-11 11:47:27.787 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:27.892 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:27.907 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:28.120 [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-2, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
2021-11-11 11:47:28.378 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-auditTrailGroup-1, groupId=auditTrailGroup] Connection to node 0 (/3.109.70.22:9092) could not be established. Broker may not be available.
